Event	ID	Name			Wwise Object Path	Notes
	100151336	Ambient_Campfire_Stop			\Default Work Unit\3DEmitters\Continuous\Ambient_Campfire_Stop	
	120976108	Ambient_Torch			\Default Work Unit\3DEmitters\Continuous\Ambient_Torch	
	808893336	UI_QuestRoll_Close			\Default Work Unit\UI\QuestRoll\UI_QuestRoll_Close	
	949395292	UI_QuestRoll_Open			\Default Work Unit\UI\QuestRoll\UI_QuestRoll_Open	
	2199611969	UI_Inventory_Open			\Default Work Unit\UI\Inventory\UI_Inventory_Open	
	2278290679	UI_Inventory_Close			\Default Work Unit\UI\Inventory\UI_Inventory_Close	
	2355650095	Ambient_Crystal_Hum			\Default Work Unit\3DEmitters\Continuous\Ambient_Crystal_Hum	
	2453392179	Player_Footstep			\Default Work Unit\Player\Player_Footstep	
	2792117052	UI_QuestRoll_Hide			\Default Work Unit\UI\QuestRoll\UI_QuestRoll_Hide	
	3664581270	Ambient_Campfire_Play			\Default Work Unit\3DEmitters\Continuous\Ambient_Campfire_Play	
	3695342915	Player_WeaponImpact			\Default Work Unit\Player\Player_WeaponImpact	
	3699139167	UI_QuestRoll_Show			\Default Work Unit\UI\QuestRoll\UI_QuestRoll_Show	
	3741135221	Music_Region			\Default Work Unit\Music\Music_Region	
	3749307760	UI_Inventory_Roll			\Default Work Unit\UI\Inventory\UI_Inventory_Roll	
	4254124015	Destruction_Container			\Default Work Unit\Destruction\Destruction_Container	

Switch Group	ID	Name			Wwise Object Path	Notes
	233504569	Player_WeaponType			\Default Work Unit\Player_WeaponType	
	4064446173	Surface_Type			\Default Work Unit\Surface_Type	

Switch	ID	Name	Switch Group			Notes
	490825222	Pickaxe	Player_WeaponType			
	703486095	Hammer	Player_WeaponType			
	765201635	Axe	Player_WeaponType			
	2454616260	Sword	Player_WeaponType			
	3732162827	Dagger	Player_WeaponType			
	442447909	Barrel	Surface_Type			
	582824249	Leaves	Surface_Type			
	803837735	Sand	Surface_Type			
	841620460	Concrete	Surface_Type			
	1216965916	Stone	Surface_Type			
	1647104456	Enemy_EvilCrawler	Surface_Type			
	2058049674	Wood	Surface_Type			
	2185786256	Gravel	Surface_Type			
	2195636714	Dirt	Surface_Type			
	2637588553	Tile	Surface_Type			
	2654748154	Water	Surface_Type			
	3065846598	Enemy_EvilHead	Surface_Type			
	3098439042	Crate	Surface_Type			
	3276966729	Enemy_EvilSpitPlant	Surface_Type			
	4248645337	Grass	Surface_Type			

Game Parameter	ID	Name			Wwise Object Path	Notes
	1333239961	MenuSlider_Master_Volume			\Default Work Unit\MenuSlider_Master_Volume	
	2642438544	MenuSlider_Music_Volume			\Default Work Unit\MenuSlider_Music_Volume	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	31491707	BAS_Impact_Axe_SurfaceType_Dirt	D:\GRADO\GRADO\3roCARRERA\AudioDigital\WWISE\WwiseAGProject\WwiseAdventureGame\.cache\Windows\SFX\BAS_Impact_Axe_SurfaceType_Dirt_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\MasterMixer\Toto Work Unit\Weapon_Impacts\ImpactAxe\BAS_Impact_Axe_SurfaceType_Dirt		35434
	39719282	BAS_Player_Footstep_stone_walk_03	D:\GRADO\GRADO\3roCARRERA\AudioDigital\WWISE\WwiseAGProject\WwiseAdventureGame\.cache\Windows\SFX\Stone\BAS_Player_Footstep_stone_walk_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\MasterMixer\Victor Work Unit\Materials\Stone\BAS_Player_Footstep_stone_walk_03		48070
	46859343	BAS_Impact_PickAxe_SurfaceType_Crate	D:\GRADO\GRADO\3roCARRERA\AudioDigital\WWISE\WwiseAGProject\WwiseAdventureGame\.cache\Windows\SFX\BAS_Impact_PickAxe_SurfaceType_Crate_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\MasterMixer\Toto Work Unit\Weapon_Impacts\ImpactPickaxe\BAS_Impact_PickAxe_SurfaceType_Crate		34946
	53805041	BAS_Player_Footstep_stone_walk_01	D:\GRADO\GRADO\3roCARRERA\AudioDigital\WWISE\WwiseAGProject\WwiseAdventureGame\.cache\Windows\SFX\Stone\BAS_Player_Footstep_stone_walk_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\MasterMixer\Victor Work Unit\Materials\Stone\BAS_Player_Footstep_stone_walk_01		47220
	64968744	BAS_Player_Footstep_wood_walk_02	D:\GRADO\GRADO\3roCARRERA\AudioDigital\WWISE\WwiseAGProject\WwiseAdventureGame\.cache\Windows\SFX\Wood\BAS_Player_Footstep_wood_walk_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\MasterMixer\Victor Work Unit\Materials\Wood\BAS_Player_Footstep_wood_walk_02		51004
	72839394	BAS_Player_Footstep_water_walk_01	D:\GRADO\GRADO\3roCARRERA\AudioDigital\WWISE\WwiseAGProject\WwiseAdventureGame\.cache\Windows\SFX\Water\BAS_Player_Footstep_water_walk_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\MasterMixer\Victor Work Unit\Materials\Water\BAS_Player_Footstep_water_walk_01		47220
	85072602	BAS_Player_Footstep_water_walk_06	D:\GRADO\GRADO\3roCARRERA\AudioDigital\WWISE\WwiseAGProject\WwiseAdventureGame\.cache\Windows\SFX\Water\BAS_Player_Footstep_water_walk_06_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\MasterMixer\Victor Work Unit\Materials\Water\BAS_Player_Footstep_water_walk_06		47032
	105191859	BAS_Torch	D:\GRADO\GRADO\3roCARRERA\AudioDigital\WWISE\WwiseAGProject\WwiseAdventureGame\.cache\Windows\SFX\BAS_Torch_D79FB2B7.wem		\Actor-Mixer Hierarchy\Default Work Unit\MasterMixer\Toto Work Unit\AmbientEmitters\AmbientEmitters\BAS_Torch		448524
	130178009	BAS_Impact_Sword_SurfaceType_Crate	D:\GRADO\GRADO\3roCARRERA\AudioDigital\WWISE\WwiseAGProject\WwiseAdventureGame\.cache\Windows\SFX\BAS_Impact_Sword_SurfaceType_Crate_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\MasterMixer\Toto Work Unit\Weapon_Impacts\ImpactSword\BAS_Impact_Sword_SurfaceType_Crate		61830
	131169884	BAS_QuestRoll_Close	D:\GRADO\GRADO\3roCARRERA\AudioDigital\WWISE\WwiseAGProject\WwiseAdventureGame\.cache\Windows\SFX\BAS_QuestRoll_Close_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\MasterMixer\Victor Work Unit\UI\BAS_QuestRoll_Close		112358
	168339376	BAS_Impact_Sword_SurfaceType_Wood	D:\GRADO\GRADO\3roCARRERA\AudioDigital\WWISE\WwiseAGProject\WwiseAdventureGame\.cache\Windows\SFX\BAS_Impact_Sword_SurfaceType_Wood_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\MasterMixer\Toto Work Unit\Weapon_Impacts\ImpactSword\BAS_Impact_Sword_SurfaceType_Wood		71900
	172838375	BAS_Player_Footstep_sand_walk_02	D:\GRADO\GRADO\3roCARRERA\AudioDigital\WWISE\WwiseAGProject\WwiseAdventureGame\.cache\Windows\SFX\Sand\BAS_Player_Footstep_sand_walk_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\MasterMixer\Victor Work Unit\Materials\Sand\BAS_Player_Footstep_sand_walk_02		35914
	181559789	BAS_Player_Footstep_wood_walk_03	D:\GRADO\GRADO\3roCARRERA\AudioDigital\WWISE\WwiseAGProject\WwiseAdventureGame\.cache\Windows\SFX\Wood\BAS_Player_Footstep_wood_walk_03_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\MasterMixer\Victor Work Unit\Materials\Wood\BAS_Player_Footstep_wood_walk_03		48070
	210233962	BAS_Player_Footstep_grass_walk_05	D:\GRADO\GRADO\3roCARRERA\AudioDigital\WWISE\WwiseAGProject\WwiseAdventureGame\.cache\Windows\SFX\Grass\BAS_Player_Footstep_grass_walk_05_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\MasterMixer\Victor Work Unit\Materials\Grass\BAS_Player_Footstep_grass_walk_05		47410
	226442369	BAS_Impact_Hammer_SurfaceType_Crate	D:\GRADO\GRADO\3roCARRERA\AudioDigital\WWISE\WwiseAGProject\WwiseAdventureGame\.cache\Windows\SFX\BAS_Impact_Hammer_SurfaceType_Crate_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\MasterMixer\Toto Work Unit\Weapon_Impacts\ImpactHammer\BAS_Impact_Hammer_SurfaceType_Crate		47008
	272731501	BAS_Evil_Crawler_Hurt_01	D:\GRADO\GRADO\3roCARRERA\AudioDigital\WWISE\WwiseAGProject\WwiseAdventureGame\.cache\Windows\SFX\BAS_Evil_Crawler_Hurt_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\MasterMixer\Toto Work Unit\Weapon_Impacts\ImpactPickaxe\BAS_Evil_Crawler_Hurt_01		75950
	293261843	BAS_Player_Footstep_wood_walk_06	D:\GRADO\GRADO\3roCARRERA\AudioDigital\WWISE\WwiseAGProject\WwiseAdventureGame\.cache\Windows\SFX\Wood\BAS_Player_Footstep_wood_walk_06_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\MasterMixer\Victor Work Unit\Materials\Wood\BAS_Player_Footstep_wood_walk_06		47032
	295766616	BAS_Player_Footstep_rubble_walk_04	D:\GRADO\GRADO\3roCARRERA\AudioDigital\WWISE\WwiseAGProject\WwiseAdventureGame\.cache\Windows\SFX\Rubble\BAS_Player_Footstep_rubble_walk_04_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\MasterMixer\Victor Work Unit\Materials\Rubble\BAS_Player_Footstep_rubble_walk_04		45328
